,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7197,NC,27510,1,852.0,184.0,60.0,1.0,192.0,2797942.0,4170970.0,462417.0
7198,NC,27511,1,2390.0,596.0,133.0,13.0,529.0,6651641.0,8074475.0,223633.0
7199,NC,27514,1,1463.0,331.0,84.0,7.0,333.0,4482907.0,6178479.0,614420.0
7200,NC,27516,1,1566.0,324.0,94.0,5.0,340.0,4735944.0,6543966.0,667673.0
7201,NC,27518,1,100.0,30.0,3.0,2.0,25.0,212266.0,434133.0,10156.0
7202,NC,27519,3,2554.0,604.0,128.0,6.0,597.0,6577165.0,7951736.67,244741.0
7203,NC,27520,2,1743.0,399.0,93.0,3.0,386.0,3698956.5,4383785.0,138150.0
7204,NC,27522,2,520.0,115.0,24.0,3.0,102.0,1190906.0,1497249.0,300612.0
7205,NC,27524,1,1281.0,248.0,77.0,27.0,259.0,3028616.0,3764301.0,230588.0
7206,NC,27525,1,1085.0,225.0,58.0,2.0,234.0,2421487.0,3070288.0,856260.0
7207,NC,27526,1,2284.0,511.0,121.0,15.0,507.0,5956103.0,7332173.0,216820.0
7208,NC,27529,1,2748.0,614.0,153.0,5.0,584.0,7541397.0,9581233.0,207052.0
7209,NC,27530,3,501.0,100.0,35.0,2.0,95.0,1514851.0,1887010.67,184549.67
7210,NC,27534,2,646.0,136.0,40.0,0.0,152.0,1976068.0,2418575.0,186500.0
7211,NC,27537,3,515.0,120.0,34.0,2.0,98.0,1500742.67,1948741.33,229686.0
7212,NC,27539,1,2285.0,529.0,120.0,2.0,532.0,5594557.0,7069711.0,181717.0
7213,NC,27540,2,1322.0,265.0,78.0,3.0,281.0,3566788.5,4377513.5,700008.5
7214,NC,27542,1,802.0,192.0,56.0,6.0,207.0,2364727.0,2731167.0,100173.0
7215,NC,27545,1,1769.0,397.0,101.0,14.0,397.0,4699270.0,6260458.0,327742.0
7216,NC,27546,1,1462.0,338.0,77.0,3.0,347.0,3423701.0,4358445.0,840958.0
7217,NC,27549,2,370.0,76.0,24.0,0.0,84.0,990887.0,1298849.5,450187.0
7218,NC,27565,3,383.0,75.0,22.0,3.0,75.0,1065246.67,1347866.0,495688.33
7219,NC,27569,1,987.0,124.0,66.0,1.0,120.0,2679107.0,3156408.0,108977.0
7220,NC,27571,1,2162.0,417.0,121.0,2.0,528.0,5411923.0,6876444.0,181775.0
7221,NC,27573,2,997.0,183.0,62.0,0.0,194.0,2702264.5,3320377.0,726322.0
7222,NC,27577,3,533.0,124.0,35.0,7.0,107.0,1366937.33,1682622.67,117053.0
7223,NC,27581,1,658.0,133.0,37.0,13.0,137.0,1676266.0,2201668.0,475867.0
7224,NC,27587,2,2054.0,462.0,110.0,3.0,484.0,5488105.5,6828827.0,191164.0
